OID_,NAME,COUNTY
0,CUMBERLAND,PROVIDENCE
1,WOONSOCKET,PROVIDENCE
2,NORTH SMITHFIELD,PROVIDENCE
3,BURRILLVILLE,PROVIDENCE
4,LINCOLN,PROVIDENCE
5,SMITHFIELD,PROVIDENCE
6,GLOCESTER,PROVIDENCE
7,CENTRAL FALLS,PROVIDENCE
8,PAWTUCKET,PROVIDENCE
9,NORTH PROVIDENCE,PROVIDENCE
10,JOHNSTON,PROVIDENCE
11,PROVIDENCE,PROVIDENCE
12,EAST PROVIDENCE,PROVIDENCE
13,SCITUATE,PROVIDENCE
14,FOSTER,PROVIDENCE
15,EAST PROVIDENCE,PROVIDENCE
16,EAST PROVIDENCE,PROVIDENCE
17,CRANSTON,PROVIDENCE
18,EAST PROVIDENCE,PROVIDENCE
19,EAST PROVIDENCE,PROVIDENCE
20,EAST PROVIDENCE,PROVIDENCE
21,BARRINGTON,BRISTOL
22,BARRINGTON,BRISTOL
23,WARWICK,KENT
24,BARRINGTON,BRISTOL
25,BARRINGTON,BRISTOL
26,BARRINGTON,BRISTOL
27,BARRINGTON,BRISTOL
28,WARREN,BRISTOL
29,BARRINGTON,BRISTOL
30,WARWICK,KENT
31,WARREN,BRISTOL
32,WARWICK,KENT
33,WARWICK,KENT
34,BARRINGTON,BRISTOL
35,BARRINGTON,BRISTOL
36,BARRINGTON,BRISTOL
37,WARWICK,KENT
38,WARREN,BRISTOL
39,WARWICK,KENT
40,WEST WARWICK,KENT
41,COVENTRY,KENT
42,BRISTOL,BRISTOL
43,BARRINGTON,BRISTOL
44,BARRINGTON,BRISTOL
45,BARRINGTON,BRISTOL
46,TIVERTON,NEWPORT
47,WARWICK,KENT
48,PORTSMOUTH,NEWPORT
49,EAST GREENWICH,KENT
50,PORTSMOUTH,NEWPORT
51,WEST GREENWICH,KENT
52,BRISTOL,BRISTOL
53,PORTSMOUTH,NEWPORT
54,NORTH KINGSTOWN,WASHINGTON
55,PORTSMOUTH,NEWPORT
56,PORTSMOUTH,NEWPORT
57,PORTSMOUTH,NEWPORT
58,PORTSMOUTH,NEWPORT
59,PORTSMOUTH,NEWPORT
60,PORTSMOUTH,NEWPORT
61,PORTSMOUTH,NEWPORT
62,PORTSMOUTH,NEWPORT
63,PORTSMOUTH,NEWPORT
64,PORTSMOUTH,NEWPORT
65,PORTSMOUTH,NEWPORT
66,PORTSMOUTH,NEWPORT
67,PORTSMOUTH,NEWPORT
68,EXETER,WASHINGTON
69,PORTSMOUTH,NEWPORT
70,PORTSMOUTH,NEWPORT
71,NORTH KINGSTOWN,WASHINGTON
72,NORTH KINGSTOWN,WASHINGTON
73,JAMESTOWN,NEWPORT
74,RICHMOND,WASHINGTON
75,LITTLE COMPTON,NEWPORT
76,MIDDLETOWN,NEWPORT
77,NORTH KINGSTOWN,WASHINGTON
78,HOPKINTON,WASHINGTON
79,JAMESTOWN,NEWPORT
80,SOUTH KINGSTOWN,WASHINGTON
81,NEWPORT,NEWPORT
82,NEWPORT,NEWPORT
83,MIDDLETOWN,NEWPORT
84,JAMESTOWN,NEWPORT
